record_type,source_file,source_sr_no,state,constituency,mp_name,ida,work_id,work_category,work_type,work_description,recommended_date,sanction_date,completion_date,expenditure_date,consent_date,recommended_amount,sanction_amount,amount_disbursed,fund_disbursed_amount,consent_amount,allocated_amount,work_status,payment_status,vendor_name,calamity_type,calamity_name,image_marker
Works Recommended,Works Recommended (1).xlsx,7355,Uttar Pradesh,BHADOHI,VINOD KUMAR BIND,BHADOHI(DISTRICT MAGISTRATE BHADOHI_IDA),WS/MP18380/2024-2025/149515,Normal/Others,Lighting of public spaces,Gram Sabha Barigaon ( Badgaon) me Chauraha Par,2024-10-26,2025-01-07,,,,118993.0,,,,,,,,,,,
Works Recommended,Works Recommended (1).xlsx,6908,Uttar Pradesh,BALLIA,SANATAN PANDEY,BALLIA(DISTRICT MAGISTRAE BALLIA_IDA),WS/MP18205/2024-2025/148717,Normal/Others,Street lights,Installation of Semi High Mast Lights at different places as per attached recommendation letter.,2024-10-21,2025-03-20,,,,216470.0,,,,,,,,,,,
Expenditure on Completed & On-going Works,Expenditure on Completed and On-going Works as on Date.xlsx,67113,Punjab,BHATINDA,Smt Harsimrat Kaur Badal,MANSA(DEPUTY COMMISSIONER MANSA_IDA),WS/MP716/2025-2026/189725,,"Construction of roads, link roads, pathways or any other road with or without drainage system",,,,,2026-02-10,,,,,13551.0,,,,Payment Success,JASPAL TRADING CO,,,
Works Completed,Works Completed.xlsx,32384,Uttarakhand,NAINITAL UDHAM SINGH NAG.,Ajay Bhatt,NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA),WS/MP021/2025-2026/254822,Normal/Others,"Construction of roads, link roads, pathways or any other road with or without drainage system",Janpad Nainital ke antargat gram Haripur jamansingh Mein mukhya Marg se Shri Pankaj Joshi ke ghar Tak CC Nirman Karya,,,2026-05-12,,,,,200000.0,,,,,,,,,Images
Works Recommended,Works Recommended (1).xlsx,58993,Bihar,JAHANABAD,SURENDRA PRASAD YADAV,JEHANABAD(DISTRICT PLANNING OFFICER JEHANABAD_IDA),WS/MP18035/2025-2026/238691,Normal/Others,"Construction of roads, link roads, pathways or any other road with or without drainage system",Work Details mentioned at S No 3 Construction of PCC road from House of Ranjit Singh till Main Road in Shripatpur Village of Sesamba Panchayat under Ratni Faridpur Sub District,2025-09-27,2026-03-05,,,,500000.0,,,,,,,,,,,
Expenditure on Completed & On-going Works,Expenditure on Completed and On-going Works as on Date.xlsx,37817,Madhya Pradesh,BALAGHAT,BHARTI PARDHI,BALAGHAT(DISTRICT COLLECTOR BALAGHAT_IDA),WS/MP18098/2025-2026/180446,,"Construction of roads, link roads, pathways or any other road with or without drainage system",,,,,2025-08-25,,,,,150000.0,,,,Payment Success,GRAM PANCHAYAT GHOTI,,,
Works Sanctioned,Works Sanctioned.xlsx,54174,Gujarat,MAHESANA,HARIBHAI PATEL,MAHESANA(DISTRICT COLLECTOR MAHESANA_IDA),WS/MP18054/2025-2026/236401,Normal/Others,Construction of water tanks,CONSTRUCTION OF WATER TANK IN PRIMARY SCHOOL,2025-09-22,2025-11-11,,,,,200000.0,,,,,Vendor Identification,,,,,
Expenditure on Completed & On-going Works,Expenditure on Completed and On-going Works as on Date.xlsx,56105,Rajasthan,UDAIPUR(ST),MANNA LAL RAWAT,Salumbar(DISTRICT COLLECTOR Salumbar_IDA),WS/MP18172/2025-2026/201303,,Construction of rooms and halls in school and colleges,,,,,2025-11-21,,,,,290000.0,,,,Payment Success,MS GOURAV CONSTRUCTION AND COMPANY,,,
Works Recommended,Works Recommended (1).xlsx,19958,Telangana,NIZAMABAD,Arvind Dharmapuri,NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA),,Normal/Others,Crematoriums/energy efficient crematoriums or structures on burial/cremation ground,"Infrastructure works in smashanavatika near Hosanna Mandir, Div No.20",2025-02-03,,,,,250000.0,,,,,,,,,,,
Works Completed,Works Completed.xlsx,32042,Rajasthan,AJMER,Bhagirath Chaudhary,AJMER(DISTRICT COLLECTOR AJMER_IDA),WS/MP719/2025-2026/267892,Normal/Others,"Construction of roads, link roads, pathways or any other road with or without drainage system",gravel Road From Hosiyara sampark road to seetanadi,,,2026-05-05,,,,,499784.0,,,,,,,,,Images
Works Sanctioned,Works Sanctioned.xlsx,14202,Bihar,JHANJHARPUR,Ramprit Mandal,MADHUBANI(DISTRICT PLANNING OFFICER MADHUBANI_IDA),WS/MP423/2024-2025/161439,Normal/Others,"Construction of roads, link roads, pathways or any other road with or without drainage system",Anumandal phulpras zila Madhubani antargat nagar panchayat phulpras  mukhya sadak se lekar anumandal karyalay office gate tk pcc sadak ka nirman karya,2024-12-25,2025-01-09,,,,,1378690.0,,,,,Physical Inspection,,,,,
Expenditure on Completed & On-going Works,Expenditure on Completed and On-going Works as on Date.xlsx,66922,Uttar Pradesh,BANSGAON(SC),Kamlesh Paswan,DEORIA(DISTRICT MAGISTRATE DEORIA),WS/MP793/2026-2027/264802,,Lighting of public spaces,,,,,2026-07-14,,,,,231280.0,,,,Payment Success,OM ENTERPRISES,,,
Expenditure on Completed & On-going Works,Expenditure on Completed and On-going Works as on Date.xlsx,46514,Tamil Nadu,TIRUVALLUR(SC),Sasikanth Senthil,THIRUVALLUR(DISTRICT COLLECTOR TIRUVALLUR_IDA),WS/MP18186/2025-2026/167640,,Construction of buildings for community cultural activities,,,,,2026-08-24,,,,,999360.0,,,,Payment Success,VINAYAGHA CONSTRUCTIONS,,,
Works Recommended,Works Recommended (1).xlsx,57274,Uttar Pradesh,JHANSI,Anurag Sharma,JHANSI(DISTRICT MAGISTRAE JHANSI_IDA),WS/MP468/2025-2026/235848,Normal/Others,Providing drains and gutters for public drainage,Drain construction infront of Anuj Pathak house via Soobedar Mishra ji at word 31 Ayodhyapuri Jhansi Nagar.,2025-09-20,2025-12-11,,,,400000.0,,,,,,,,,,,
Works Sanctioned,Works Sanctioned.xlsx,59348,Karnataka,RAICHUR(ST),G. KUMAR NAIK,RAICHUR(DEPUTY COMMISSIONER RAICHUR_IDA),WS/MP18092/2025-2026/246947,Normal/Others,"Construction of roads, link roads, pathways or any other road with or without drainage system",Construction of  CC road From Huligeppa  Isalampur House TO Govindappa Upper House At Jagiranandihal Village Ligasugur Taluk,2025-11-08,2026-03-11,,,,,500000.0,,,,,Sanction,,,,,
Expenditure on Completed & On-going Works,Expenditure on Completed and On-going Works as on Date.xlsx,34338,Maharashtra,MUMBAI NORTH-CENTRAL,GAIKWAD VARSHA EKNATH,MUMBAI SUBURBAN(DISTRICT COLLECTOR MUMBAI SUBURBAN_IDA),WS/MP18124/2025-2026/165816,,"Construction of roads, link roads, pathways or any other road with or without drainage system",,,,,2025-07-14,,,,,999140.0,,,,Payment Success,Samona Enterprises,,,
Works Sanctioned,Works Sanctioned.xlsx,66446,Uttar Pradesh,SHRAWASTI,Ram Shiromani,Shrawasti(DISTRICT MAGISTRATE SHRAVASTI_IDA),WS/MP815/2026-2027/261967,Normal/Others,Street lights,"28-Installation of a solar street light near the temple, next to the petrol pump.",2026-02-04,2026-08-12,,,,,26150.0,,,,,Sanction,,,,,
Works Sanctioned,Works Sanctioned.xlsx,33590,Jharkhand,CHATRA,KALI CHARAN SINGH,CHATRA(DEPUTY COMMISSIONER CHATRA_IDA),WS/MP18071/2025-2026/198892,Repair and Renovation,Renovation of ponds and lakes,Repairing of Karimati Ahar,2025-05-12,2025-11-14,,,,,100000.0,,,,,Sanction,,,,,
Works Completed,Works Completed.xlsx,2726,Uttar Pradesh,BANDA,KRISHNA DEVI SHIVSHANKER PATEL,CHITRAKOOT(DISTRICT MAGISTRATE CHITRAKOOT_IDA),WS/MP18206/2024-2025/144215,Normal/Others,Lighting of public spaces,gram panchayat Pahadi Bujurg ke hardauli chaurahe ke  paas sc/st basti ke sarwjanik sthan par high mast light sthapna karya,,,2025-06-16,,,,,226584.0,,,,,,,,,Images
Works Recommended,Works Recommended (1).xlsx,63232,Maharashtra,CHANDRAPUR,DHANORKAR PRATIBHA SURESH ALIAS BALUBHAU,YAVATMAL(DISTRICT COLLECTOR YAVATMAL_IDA),,Normal/Others,Crematoriums/energy efficient crematoriums or structures on burial/cremation ground,"Construction of a graveyard shed and beautification at the Hindu graveyard located on Dabhadi Road, Arni.",2025-11-04,,,,,1000000.0,,,,,,,,,,,
Expenditure on Completed & On-going Works,Expenditure on Completed and On-going Works as on Date.xlsx,22072,Karnataka,BAGALKOT,Parvatagouda Chandanagouda Gaddigoudar,BAGALKOTE(DEPUTY COMMISSIONER BAGALKOT_IDA),WS/MP618/2025-2026/218179,,Construction of community centers and community halls,,,,,2026-08-04,,,,,124890.0,,,,Payment Success,R K PADASALAGI,,,
Works Recommended,Works Recommended (1).xlsx,16161,West Bengal,ULUBERIA,Smt Sajda Ahmed,HOWRAH(DISTRICT MAGISTRATE HOWRAH_IDA),WS/MP829/2024-2025/164111,Normal/Others,"Construction of roads, link roads, pathways or any other road with or without drainage system",Construction of PCC Road from subir Mondal TV shop to Gopal Ganguly House in Khadinan Mouza,2025-01-08,2025-02-28,,,,249775.0,,,,,,,,,,,
Works Sanctioned,Works Sanctioned.xlsx,4330,Chhattisgarh,RAJNANDGAON,Santosh Pandey,Mohla-Manpur-Ambagarh Chouki(Collector MMC_IDA),WS/MP428/2024-2025/143950,Normal/Others,Purchase of books and periodicals for libraries/digitization of library books,Book Supply in 25 Govt. School of MMC District,2024-09-27,2025-01-03,,,,,2499475.0,,,,,Physical Inspection,,,,,
Works Recommended,Works Recommended (1).xlsx,77151,Uttar Pradesh,PRATAPGARH,DR. S P SINGH,PRATAPGARH(DISTRICT MAGISTRAE PRATAPGARH_IDA),,Normal/Others,Installing hand pumps,Vikas Khand Magraura ke gram Sakara Sonwa Bahar me Ramadhar ke ghar ke pass Sarvajanik Sthal par India Marka Handpump,2026-02-24,,,,,50800.0,,,,,,,,,,,
Works Recommended,Works Recommended (1).xlsx,51193,Arunachal Pradesh,ARUNACHAL EAST,Shri Tapir Gao,EAST SIANG(Deputy Commisioner East Siang_IDA),WS/MP313/2025-2026/225976,Normal/Others,"Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","Construction of Drainage system at Lower Rikmeng, Ruksin town at East Siang District",2025-08-09,2025-11-19,,,,500000.0,,,,,,,,,,,
Works Sanctioned,Works Sanctioned.xlsx,75170,Uttar Pradesh,RAMPUR,MOHIBBULLAH,RAMPUR(DISTRICT MAGISTRATE RAMPUR_IDA),WS/MP18235/2026-2027/281830,Normal/Others,Lighting of public spaces,"RECOMMENDED A HIGH MAST LIGHT WITH FOUR LED in VILLAGE BARA GAON, Near QABARISTAN BLOCK SHAHABAD, TEHSIL SHAHABAD (IA UPSIC MBD)",2026-05-19,2026-07-07,,,,,174200.0,,,,,Vendor Identification,,,,,
Works Sanctioned,Works Sanctioned.xlsx,8723,Uttar Pradesh,BHADOHI,VINOD KUMAR BIND,BHADOHI(DISTRICT MAGISTRATE BHADOHI_IDA),WS/MP18380/2024-2025/151947,Normal/Others,Lighting of public spaces,Ward nu 13 Bhadohi me MIG 38 Jamnipur me Rajneesh Dubey ke ghar ke pas,2024-11-11,2024-12-27,,,,,118971.0,,,,,Physical Inspection,,,,,
Works Sanctioned,Works Sanctioned.xlsx,60851,Tamil Nadu,KRISHNAGIRI,GOPINATH K,KRISHNAGIRI(DISTRICT COLLECTOR KRISHNAGIRI_IDA),WS/MP18267/2026-2027/250880,Normal/Others,Construction of common work sheds/ common covered sitting area,Ratchai at Achandiram in Alasapalli Batvarapalli in Hosur,2025-12-14,2026-08-25,,,,,600000.0,,,,,Sanction,,,,,
Expenditure on Completed & On-going Works,Expenditure on Completed and On-going Works as on Date.xlsx,66518,Jharkhand,RAJMAHAL(ST),Vijay Kumar Hansdak,PAKUR(Deputy Commissioner Pakur_IDA),WS/MP607/2025-2026/233005,,"Construction of roads, link roads, pathways or any other road with or without drainage system",,,,,2026-08-10,,,,,200940.0,,,,Payment Success,SURAJ KUMAR,,,
Expenditure on Completed & On-going Works,Expenditure on Completed and On-going Works as on Date.xlsx,35870,Rajasthan,RAJSAMAND,MAHIMA KUMARI MEWAR,RAJSAMAND(DISTRICT COLLECTOR RAJSAMAND_IDA),WS/MP18169/2025-2026/266734,,Construction of community centers and community halls,,,,,2026-03-25,,,,,1185000.0,,,,Payment Success,ASHOK KUMAR YADAV,,,
Works Recommended,Works Recommended (1).xlsx,12078,Gujarat,SURAT,MUKESHKUMAR CHANDRAKAANT DALAL,SURAT(DISTRICT COLLECTOR SURAT_IDA),WS/MP18057/2025-2026/157153,Normal/Others,"Purchase of smart boards, visual display units and projectors","In Ward 1, allocate one smart board to School No. 315 under the Nagar Primary Education Committee.",2024-12-06,2025-04-09,,,,275555.0,,,,,,,,,,,
Expenditure on Completed & On-going Works,Expenditure on Completed and On-going Works as on Date.xlsx,80942,Gujarat,ANAND,Mitesh Rameshbhai Bakabhai Patel,ANAND(District Collector ANAND_IDA),WS/MP579/2025-2026/256186,,"Construction of roads, link roads, pathways or any other road with or without drainage system",,,,,2026-03-06,,,,,99932.0,,,,Payment Success,napadvanta gram panchyat,,,
Works Recommended,Works Recommended (1).xlsx,41833,Bihar,KARAKAT,RAJA RAM SINGH,AURANGABAD(DISTRICT PLANNING OFFICER AURANGABAD_IDA),WS/MP18037/2025-2026/209571,Normal/Others,Installing hand pumps,"Prakhand - Daudnagar, Panchayat- Manar, Gram - Kunji Bigaha men sarvajanik manch ke pass chapakal",2025-06-17,2025-07-11,,,,74509.0,,,,,,,,,,,
Works Recommended,Works Recommended (1).xlsx,98449,Chhattisgarh,SARGUJA(ST),CHINTAMANI MAHARAJ,SURGUJA(Collector Surguja_IDA),,Normal/Others,Purchase of books and periodicals for libraries/digitization of library books,DISTRICT COURT AMBIKAPUR ME ADHIWAKTA HETU Library STHAPNA KARYA,2026-08-13,,,,,1000000.0,,,,,,,,,,,
Works Completed,Works Completed.xlsx,29867,Telangana,ADILABAD(ST),GODAM NAGESH,Nirmal(DISTRICT COLLECTOR NIRMAL_3),WS/MP18187/2025-2026/189889,Normal/Others,Construction of public libraries and reading rooms,Construction of General Community Hall at Dharmora Village,,,2026-03-16,,,,,500000.0,,,,,,,,,Images
Expenditure on Completed & On-going Works,Expenditure on Completed and On-going Works as on Date.xlsx,1957,Rajasthan,UDAIPUR(ST),MANNA LAL RAWAT,UDAIPUR(DISTRICT COLLECTOR UDAIPUR_IDA),WS/MP18172/2025-2026/241314,,"Construction of roads, link roads, pathways or any other road with or without drainage system",,,,,2026-07-09,,,,,299800.0,,,,Payment In-Progress,MEWAR CONSTRUCTION AND BUILDERS,,,
Expenditure on Completed & On-going Works,Expenditure on Completed and On-going Works as on Date.xlsx,19363,Tamil Nadu,PERAMBALUR,ARUN NEHRU,TIRUCHIRAPPALLI(DISTRICT COLLECTOR TIRUCHIRAPPALLI_IDA),WS/MP18180/2025-2026/204509,,Construction of rooms and halls in school and colleges,,,,,2025-12-26,,,,,1800000.0,,,,Payment Success,palanichamy,,,
Works Sanctioned,Works Sanctioned.xlsx,46936,Jharkhand,GIRIDIH,Shri Chandra Prakash Choudhary,BOKARO(DEPUTY COMMISSIONER BOKARO_IDA),WS/MP334/2026-2027/223475,Normal/Others,Construction of common work sheds/ common covered sitting area,construction of shed near gayatri shaktipith in tanr baalidih,2025-07-31,2026-08-14,,,,,406100.0,,,,,Work partially Completed,,,,,
Works Sanctioned,Works Sanctioned.xlsx,52078,Uttar Pradesh,SAMBHAL,ZIA UR REHMAN,MORADABAD(DISTRICT MAGISTRATE MORADABAD_IDA),WS/MP18239/2025-2026/233060,Normal/Others,Lighting of public spaces,Vidhan Sabha Bilari Gram Seodara mein Bus Stand Chorahe ke pass  sarvjanik sthal par semi high mast light,2025-09-13,2025-12-12,,,,,142000.0,,,,,Vendor Identification,,,,,
Works Recommended,Works Recommended (1).xlsx,99847,Kerala,KANNUR,Shri Kumbakudi Sudhakaran,KANNUR(DISTRICT COLLECTOR KANNUR_IDA),,Normal/Others,"Construction of roads, link roads, pathways or any other road with or without drainage system",Malayanchal Road  Tarring,2026-08-12,,,,,1000000.0,,,,,,,,,,,
Works Sanctioned,Works Sanctioned.xlsx,44198,Chhattisgarh,MAHASAMUND,ROOP KUMARI CHOUDHARY,MAHASAMUND(DISTRICT COLLECTOR MAHASAMUND_IDA),WS/MP18051/2025-2026/218606,Normal/Others,"Construction of roads, link roads, pathways or any other road with or without drainage system",cc road nirman kary,2025-07-15,2025-09-19,,,,,500000.0,,,,,Physical Inspection,,,,,
Works Completed,Works Completed.xlsx,16092,Jharkhand,PALAMU(SC),Vishnu Dayal Ram,PALAMU(DEPUTY COMMISSIONER PALAMAU_IDA),WS/MP437/2025-2026/228390,Normal/Others,"Construction of roads, link roads, pathways or any other road with or without drainage system",Construction of 300 feet PCC road from Chotan Dubey house to Prakash Sinha house in Hamidganj ward number 11,,,2026-04-02,,,,,449600.0,,,,,,,,,Images
Works Completed,Works Completed.xlsx,27987,Arunachal Pradesh,ARUNACHAL WEST,Kiren Rijiju,PAPUM PARE(DEPUTY COMMISSIONER PAPUM PARE_IDA),WS/MP533/2025-2026/226038,Normal/Others,"Construction of roads, link roads, pathways or any other road with or without drainage system",Construction of Approach Road at Putung Village near Leporiang Town,,,2026-04-04,,,,,386451.0,,,,,,,,,Images
Works Sanctioned,Works Sanctioned.xlsx,69083,Uttar Pradesh,AMROHA,KANWAR SINGH TANWAR,HAPUR(DISTRICT MAGISTRATE HAPUR_IDA),WS/MP18359/2025-2026/267803,Normal/Others,"Construction of roads, link roads, pathways or any other road with or without drainage system",Block Simbhaoli ke gram Tigri mein Mangal Kashyap ki chakki se Rajmal Harijan ke Makan ki aur 55 meter CC road evam Nali Nirman (PCCD Hapur),2026-02-13,2026-03-23,,,,,1423300.0,,,,,Physical Inspection,,,,,
Works Recommended,Works Recommended (1).xlsx,106329,Uttar Pradesh,BALLIA,SANATAN PANDEY,GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA),,Normal/Others,Street lights,Installation of Solar Street Light Near Brahmsthan in Sawana,2026-09-05,,,,,113500.0,,,,,,,,,,,
Works Sanctioned,Works Sanctioned.xlsx,47492,Uttar Pradesh,SAMBHAL,ZIA UR REHMAN,MORADABAD(DISTRICT MAGISTRATE MORADABAD_IDA),WS/MP18239/2025-2026/224485,Normal/Others,"Construction of roads, link roads, pathways or any other road with or without drainage system",Vikas Khand kunderki ke gram dhakia jumma mein HM school se Guzari pradhan ke makaan ki taraf cc tiles nali nirman karye lagbhag 120 mtr,2025-08-03,2026-02-02,,,,,1721800.0,,,,,Vendor Identification,,,,,
Works Recommended,Works Recommended (1).xlsx,83961,Chhattisgarh,DURG,Vijay Baghel,DURG(DISTRICT COLLECTOR DURG_IDA),WS/MP568/2026-2027/279465,Normal/Others,"Construction of roads, link roads, pathways or any other road with or without drainage system",CC ROAD NIRMAN,2026-04-30,2026-07-01,,,,900000.0,,,,,,,,,,,
Works Sanctioned,Works Sanctioned.xlsx,74861,Jharkhand,SINGHBHUM(ST),JOBA MAJHI,WEST SINGHBHUM(DEPUTY COMMISSIONER WEST SINGHBHUM_IDA),WS/MP18262/2026-2027/281174,Normal/Others,Construction of public toilets and bathrooms,Construction of bathing ghat in the pond of Gurucharan Sawainya in village Bamehutub.,2026-05-16,2026-07-31,,,,,555000.0,,,,,Work partially Completed,,,,,
Works Recommended,Works Recommended (1).xlsx,42497,Bihar,SHEOHAR,LOVELY ANAND,PURBI CHAMPARAN(DISTRICT PLANNING OFFICER MOTHIHARI EAST CHAMPARAN_IDA),WS/MP18367/2025-2026/210654,Normal/Others,Renovation of ponds and lakes,Construction work of the stairway ghat at the Hirapur government pond in the Telhara Kala Panchayat under the Dhaka block Cost amount 1000000 Ten lakhs Rupees,2025-06-20,2025-07-23,,,,995978.0,,,,,,,,,,,
Works Completed,Works Completed.xlsx,2847,Uttar Pradesh,ETAWAH(SC),JITENDRA KUMAR DOHARE,ETAWAH(DISTRICT MAGISTRATE ETAWAH_IDA),WS/MP18214/2024-2025/149237,Normal/Others,Street lights,etawah edgah chaurahe ke pass high must light,,,2025-07-24,,,,,269328.0,,,,,,,,,
Expenditure on Completed & On-going Works,Expenditure on Completed and On-going Works as on Date.xlsx,79141,Punjab,AMRITSAR,Shri Gurjeet Singh Aujla,AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA),WS/MP381/2024-2025/147219,,Construction of New Building,,,,,2025-02-03,,,,,521500.0,,,,Payment Success,THE CHAWINDA COOPRATIVE LABOUR AND CONSTRUCTION SOCIETY,,,
Expenditure on Completed & On-going Works,Expenditure on Completed and On-going Works as on Date.xlsx,63065,Uttarakhand,NAINITAL UDHAM SINGH NAG.,Ajay Bhatt,NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA),WS/MP021/2025-2026/174403,,Fitting of Sitting RCC Benches in Public Places,,,,,2025-07-10,,,,,19928.0,,,,Payment Success,Rakesh Kumar,,,
Works Sanctioned,Works Sanctioned.xlsx,29855,Bihar,MADHEPURA,Dinesh Chandra Yadav,SAHARSA(DISTRICT PLANNING OFFICER SAHARSA_IDA),WS/MP558/2025-2026/191032,Normal/Others,Setting up of laboratories,"Sattarkataiya Prakhand antargat Vishwanath Uchch Vidyalaya, Rakiya mey Prayogik Upkaran ka Adhisthapan.",2025-04-13,2025-05-03,,,,,1249000.0,,,,,Physical Inspection,,,,,
Works Sanctioned,Works Sanctioned.xlsx,12592,Uttar Pradesh,BANDA,KRISHNA DEVI SHIVSHANKER PATEL,BANDA(DISTRICT MAGISTRATE BANDA_IDA),WS/MP18206/2024-2025/158561,Normal/Others,Lighting of public spaces,Vikash khand Naraini ke gram panchayat Kheriya me Siddh Kuti me sarwajanik sthan par high mast light sthapana karya,2025-01-01,2025-03-31,,,,,232197.0,,,,,Physical Inspection,,,,,
Expenditure on Completed & On-going Works,Expenditure on Completed and On-going Works as on Date.xlsx,25382,Uttar Pradesh,SAMBHAL,ZIA UR REHMAN,SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA),WS/MP18239/2025-2026/214915,,Installing community drinking water plants,,,,,2025-10-16,,,,,297306.0,,,,Payment Success,MK INFRATECH,,,
